Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;62198
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925704
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Time;27772942
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2755504
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Time;5830173
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2548880
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;474404421
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;296176266
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;145456061
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;488527746
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Load;Time;298660075
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;Time;125629139
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;2
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.375
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;538181604
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;283154010
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;170405529
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;539709704
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Load;Time;294661025
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;Time;152167302
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;12
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;2
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.375
------------------------------ New measurement started at 2019-07-17T12:04:12.741641 ------------------------------
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;272631816
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4516856
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Time;128429074
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3419680
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Time;781847471
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;6700296
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;290264020
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4510608
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Time;135803793
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3416320
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Time;729148635
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;7064240
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;626323161
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;7990168
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Time;82361017
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;4728832
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Time;103310571
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;4895072
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;55786153;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;1117368;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Time;13083030;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;608552;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Time;39279228;31
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;1108224;31
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;60050
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4924544
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;27577513
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2772576
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;8279610
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2538024
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;65904
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925256
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;30796619
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2772328
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;6748536
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2536376
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
