Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
ATLImproved;I04O2;0;Initialization;Time;605520289
ATLImproved;I04O2;0;Initialization;Memory;6211968
ATLImproved;I04O2;0;Load;Time;119259598
ATLImproved;I04O2;0;Load;Memory;6667760
ATLImproved;I04O2;0;Run;Time;95563553
ATLImproved;I04O2;0;Run;Memory;6872784
ATLImproved;I08O2;0;Initialization;Time;587565275
ATLImproved;I08O2;0;Initialization;Memory;6210240
ATLImproved;I08O2;0;Load;Time;232130464
ATLImproved;I08O2;0;Load;Memory;7025664
ATLImproved;I08O2;0;Run;Time;290233958
ATLImproved;I08O2;0;Run;Memory;7274144
ATLImproved;I08O4;0;Initialization;Time;606982230
ATLImproved;I08O4;0;Initialization;Memory;6210136
ATLImproved;I08O4;0;Load;Time;255769446
ATLImproved;I08O4;0;Load;Memory;7095248
ATLImproved;I08O4;0;Run;Time;313586902
ATLImproved;I08O4;0;Run;Memory;7332544
ATLImproved;I10O2;0;Initialization;Time;620904143
ATLImproved;I10O2;0;Initialization;Memory;6210544
ATLImproved;I10O2;0;Load;Time;405705362
ATLImproved;I10O2;0;Load;Memory;8459672
ATLImproved;I10O2;0;Run;Time;574718501
ATLImproved;I10O2;0;Run;Memory;8198040
ATLImproved;I12O2;0;Initialization;Time;629994093
ATLImproved;I12O2;0;Initialization;Memory;6210272
ATLImproved;I12O2;0;Load;Time;892010441
ATLImproved;I12O2;0;Load;Memory;14811640
ATLImproved;I12O2;0;Run;Time;1747887873
ATLImproved;I12O2;0;Run;Memory;12281896
ATLImproved;I14O4;0;Initialization;Time;605027468
ATLImproved;I14O4;0;Initialization;Memory;6210512
ATLImproved;I14O4;0;Load;Time;2545382730
ATLImproved;I14O4;0;Load;Memory;48795816
ATLImproved;I14O4;0;Run;Time;7028647011
ATLImproved;I14O4;0;Run;Memory;36803464
ATLImproved;I15O5;0;Initialization;Time;601108764
ATLImproved;I15O5;0;Initialization;Memory;6209776
ATLImproved;I15O5;0;Load;Time;4544465845
ATLImproved;I15O5;0;Load;Memory;89081136
ATLImproved;I15O5;0;Run;Time;20814725471
ATLImproved;I15O5;0;Run;Memory;76214784
NMF;I04O2;0;Initialization;Time;317466200
NMF;I04O2;0;Initialization;Memory;66781184
NMF;I04O2;0;Load;Time;22626600
